post_id,post_url,post_title,tags,post_desc,address,last_update,params
119958997,https://www.nhatot.com/mua-ban-nha-dat-quan-ngu-hanh-son-da-nang/119958997.htm#px=SR-stickyad-[PO-4][PL-top],Cần Bán Kiệt Lưu Quang Vũ Kiệt O Tô quay đầu 5x28,"['1 PN', 'Hướng Đông Nam', 'Nhà ngõ, hẻm']","Chính chủ gửi bán 
Nhà Kiệt Ô TÔ 6m Lưu Quang Vũ cách chợ  khái tây 50m Hướng Đông Nam 140m2 
Giá 2 Tỷ 450 Triệu
Hoàng Sơn Thuỷ Tân Trà","Đường Lưu Quang Vũ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",2024-10-31 11:59:22.366278,"{'price_m2': 17.5, 'rooms': 1.0, 'direction': 'Đông Nam', 'toilets': 1.0, 'floors': 1.0, 'property_legal_document': 'Đã có sổ'}"
120032267,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/120032267.htm,"Bán nhà Hẻm xe hơi 5.8×11m Chỉ 5,2 tỷ TL","['4 PN', 'Nhà ngõ, hẻm']","Bán nhà hẻm xe hơi  Huỳnh Thiện Lộc - Tân Phú
+ Dt:  5,8× 11m 
Nhà 1 Trệt  1 lầu CN 57m2
Giá chỉ  5,2  tỷ TL
Liên hệ Sđt đăng tin","Huỳnh Thiện Lộc, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2024-10-26 11:59:23.022980,"{'price_m2': 89.66, 'rooms': 4.0, 'floors': 2.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà ngõ, hẻm', 'width': 5.0}"
120395532,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/120395532.htm#px=SR-special_display_ad-[PO-7][PL-default],"HẺM XE 6 M². NGUYỄN HỮU DẬT. TÂN PHÚ.
4×15= 60m2.  3 TẦNG.","['3 PN', 'Nhà ngõ, hẻm']","HẺM XE SÁU M². NGUYỄN HỮU DẬT. TÂN PHÚ.
4×15= 60m2.  3 TẦNG.  Chỉ 5.3 t.ỷ 
 ++57++++39+++++51++++Fz++

  +HOÀNG MINH  BĐS  NHÀ PHỐ SÀI GÒN.  
 +  CHUYÊN GIÚP CHO NHỮNG NGƯỜI CÓ TIỀN MUA ĐƯỢC NHÀ NHƯ Ý
.","Hồ Đắc Di, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2024-10-27 11:59:23.632112,"{'price_m2': 88.33, 'rooms': 3.0, 'toilets': 3.0, 'floors': 3.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà ngõ, hẻm'}"
120422574,https://www.nhatot.com/mua-ban-dat-huyen-nhon-trach-dong-nai/120422574.htm#px=SR-special_display_ad-[PO-13][PL-default],Tôi cần bán gần 10 nền Tái Định Cư Lúa Non Phước An Đồng Nai,['Đất thổ cư'],"Kẹt tiền ngân hàng nên tôi cần bán nền tái định cư Phước An tại Nhơn Trạch, Đồng Nai 
- Vị trí toạ lạc ngay xã Phước An, Nhơn Trạch, Đồng Nai  ngay khu dân cư đang về ở đông đúc.
- Diện Tích từ 100m sạch đẹp. 
   ngang5m đất thổ cư 100%. 
- Đường nhựa 12m đến 30m vỉa hè cây xanh 2 bên, điện nước âm. Cơ sở hạ tầng đã hoàn thiện. Trục thông dài 3 dự án TĐC, XDHN, HUD, đi cao tốc về TP.HCM chỉ 30 phút. là trọng điển    của khu vực.
- Cửa ngõ của sân bay Long Thành chỉ cách 10km 
- Cách khu công nghiệp nhơn trạch chỉ 1,5km dân cư đi lại đông kín
- Vị trí ở tất cả các trục đường trong tái định cư. 
- Pháp lý rõ ràng mua bán sang tên trong ngày.
 A/c quan tâm liên hệ: Phúc Thịnh để có thêm thông tin chi tiết.","Đường Nguyễn Văn Cừ, Xã Phước An, Huyện Nhơn Trạch, Đồng Nai",2024-10-25 11:59:24.634909,"{'price_m2': 10.5, 'property_legal_document': 'Đang chờ sổ', 'land_type': 'Đất thổ cư', 'size': 100.0}"
119972881,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-di-an-binh-duong/119972881.htm#px=SR-stickyad-[PO-1][PL-top],"Nhà gần ngã 3 cây lơn, Phường Đông Hòa, TP Dĩ An","['3 PN', 'Nhà mặt phố, mặt tiền']","Nhà gần ngã 3 Cây Lơn, phường Đông Hòa, TP Dĩ An
Nhà 3,7 tỷ TL- 71m2 (ngang 4.4m). 
Thổ cư 60m2. Sổ hồng riêng. 
Hỗ trợ vay ngân hàng 70%

Vị trí: Đường Trần Hưng Đạo vào 100m, gần chợ Đông Hòa, cách khu BigC Go, trung tâm hành chính Dĩ An, làng đại học quốc gia TpHCM 1,5km. Xung quanh đầy đủ tiện ích, đường xe hơi , đi lại thuận tiện.

Nhà 1 trệt 1 lầu gồm sân xe máy, phòng khách, bếp, phòng thờ, 3 phòng ngủ, ( có phòng ngủ dưới ), 2wc. 

--------------
Lh:đtZalo : Mr Cường 
Xin cảm ơn!","Đường Trần Hưng Đạo, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương",2024-10-30 11:59:26.255201,"{'price_m2': 52.11, 'rooms': 3.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà mặt phố, mặt tiền', 'size': 71.0}"
120422581,https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120422581.htm#px=SR-special_display_ad-[PO-6][PL-default],Bán nhà,"['6 PN', 'Nhà mặt phố, mặt tiền']","💥CHỦ CẦN B,Á,N GẤP 💯HẠ CHÀO 1 TỶ.
👉KHU TÁI ĐỊNH CƯ XÓM LÒ- chủ xác định b,á,n đất tặng nhà 3 tầng.💢DT60m.mt5m. GIá  1*** tỷ thương lượng.
💥Ngõ ôtô tránh,vỉa hè,khu vực phát triển nhanh như gió.
Đường thông các ngả...tiện ích xung quanh ko kể hết,dân sinh đỉnh cao.

📲LH:***","Phố Đặng Vũ Hỷ, Phường Thượng Thanh, Quận Long Biên, Hà Nội",2024-10-25 11:59:27.248445,"{'price_m2': 180.0, 'rooms': 6.0, 'toilets': 5.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà mặt phố, mặt tiền', 'furnishing_sell': 'Nội thất đầy đủ'}"
119216995,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/119216995.htm,"Bán Nhà HXH Thông Q10, 4x12m 5 Tầng, 9,5 Tỷ Bán Gấp 8,3Tỷ","['3 PN', 'Nhà ngõ, hẻm']","- Không lộ giới không quy hoạch
- Khuôn đất vuông vức
- Pháp lý hoàn thiện công chứng ngay
- Hẻm ô tô thông, sạch, thẳng 1 trục
- Xem nhà gọi trước 30 phút","Hẻm 521 Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh",2024-10-25 11:59:27.950188,"{'price_m2': 207.5, 'rooms': 3.0, 'floors': 5.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà ngõ, hẻm', 'furnishing_sell': 'Nội thất cao cấp'}"
120475548,https://www.nhatot.com/mua-ban-dat-thanh-pho-thu-duc-tp-ho-chi-minh/120475548.htm,Bán đất hẻm xe hơi đường 9 Linh Xuân,['Đất thổ cư'],"Hàng hiếm khó tìm
Lô đất 66 m2(ngang 10,5m) hẻm xe hơi toạ lạc tại đường 9-P.Linh Xuân-Tp.Thủ Đức
Không có lộ giới.
Quy hoạch khu dân cư hiện hữu
Giá 2,89 tỷ TL mạnh","Số 9, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2024-10-25 11:59:28.551874,"{'price_m2': 43.79, 'property_legal_document': 'Đã có sổ', 'land_type': 'Đất thổ cư', 'width': 11.0, 'length': 6.0, 'pty_characteristics': 'Hẻm xe hơi'}"
120475567,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/120475567.htm,"Chính Chủ Cần Bán Nhà Biệt Thự Mini  6,5x13 Gồm 3Pn Đường 7m","['3 PN', 'Nhà ngõ, hẻm']","Cần Bán Nhà Biệt Thự Mini Thạnh lộc  quận 12
Dt 6,5x13
Gồm 3 pn đường 7m
Khu dân cư an ninh, khu vực đông dân cư 
Tiện ích đầy đủ gần chợ , trường học, bhx 
Lh e xem nhà anh chị nha","Thạnh Lộc , Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",2024-10-25 11:59:29.165866,"{'price_m2': 57.99, 'rooms': 3.0, 'toilets': 3.0, 'property_legal_document': 'Đã có sổ', 'house_type': 'Nhà ngõ, hẻm', 'width': 6.0}"
111167892,https://www.nhatot.com/mua-ban-dat-huyen-nha-be-tp-ho-chi-minh/111167892.htm#px=SR-stickyad-[PO-5][PL-top],Ngộp ngân hàng. Cần bán gấp đất,['Đất thổ cư'],"Ngộp ngân hàng. Cần bán gấp đất. Hổ trợ vay ngân hàng. gấp , rất gấp.","Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",2024-11-03 07:59:29.796820,"{'price_m2': 27.08, 'property_legal_document': 'Đã có sổ', 'land_type': 'Đất thổ cư', 'width': 11.0, 'length': 18.0, 'pty_characteristics': 'Hẻm xe hơi'}"
